payment_id,date,amount_paid,payment_method,partner
P00001,2022-01-01,3567.49,PayPal,Partner X
P00002,2022-01-02,3857.33,Cash,Partner Z
P00003,2022-01-03,4746.63,Bank Transfer,Partner Z
P00004,2022-01-04,1739.87,Credit Card,Partner Z
P00005,2022-01-05,3749.42,Bank Transfer,Partner Z
P00006,2022-01-06,2898.75,PayPal,Partner W
P00007,2022-01-07,4761.73,Cash,Partner Z
P00008,2022-01-08,4079.56,Cash,Partner X
P00009,2022-01-09,4116.45,Bank Transfer,Partner W
P00010,2022-01-10,1685.77,Cash,Partner Y
P00011,2022-01-11,2067.59,Credit Card,Partner X
P00012,2022-01-12,3323.78,Bank Transfer,Partner Z
P00013,2022-01-13,1910.64,Credit Card,Partner X
P00014,2022-01-14,3391.35,Cash,Partner Y
P00015,2022-01-15,3909.61,Bank Transfer,Partner Z
P00016,2022-01-16,4066.71,Credit Card,Partner W
P00017,2022-01-17,2139.66,PayPal,Partner X
P00018,2022-01-18,4975.28,Credit Card,Partner Y
P00019,2022-01-19,1108.24,PayPal,Partner X
P00020,2022-01-20,889.26,PayPal,Partner Y
P00021,2022-01-21,2449.51,Credit Card,Partner Y
P00022,2022-01-22,2595.68,Bank Transfer,Partner X
P00023,2022-01-23,1031.33,PayPal,Partner W
P00024,2022-01-24,4032.37,Bank Transfer,Partner Z
P00025,2022-01-25,3407.35,Credit Card,Partner Y
P00026,2022-01-26,3953.0,PayPal,Partner Y
P00027,2022-01-27,1461.31,Cash,Partner Y
P00028,2022-01-28,2289.4,Credit Card,Partner Z
P00029,2022-01-29,4813.26,Bank Transfer,Partner W
P00030,2022-01-30,2806.62,Cash,Partner W
P00031,2022-01-31,3822.95,Cash,Partner Z
P00032,2022-02-01,1900.81,Credit Card,Partner Z
P00033,2022-02-02,1926.43,Credit Card,Partner W
P00034,2022-02-03,571.05,Cash,Partner Z
P00035,2022-02-04,4153.08,PayPal,Partner Z
P00036,2022-02-05,1874.21,Cash,Partner Y
P00037,2022-02-06,1974.41,Credit Card,Partner X
P00038,2022-02-07,3050.19,Bank Transfer,Partner X
P00039,2022-02-08,4226.8,Cash,Partner Z
P00040,2022-02-09,2185.23,PayPal,Partner X
P00041,2022-02-10,1060.76,PayPal,Partner W
P00042,2022-02-11,3680.9,Credit Card,Partner W
P00043,2022-02-12,1579.15,Credit Card,Partner Y
P00044,2022-02-13,2726.86,Bank Transfer,Partner Z
P00045,2022-02-14,1959.07,PayPal,Partner Z
P00046,2022-02-15,4123.59,Cash,Partner X
P00047,2022-02-16,1108.2,Cash,Partner Z
P00048,2022-02-17,643.03,Bank Transfer,Partner W
P00049,2022-02-18,2993.93,PayPal,Partner W
P00050,2022-02-19,2986.6,PayPal,Partner W
P00051,2022-02-20,1857.12,Bank Transfer,Partner X
P00052,2022-02-21,3725.36,PayPal,Partner Z
P00053,2022-02-22,938.97,PayPal,Partner Y
P00054,2022-02-23,4645.87,PayPal,Partner W
P00055,2022-02-24,2579.11,Credit Card,Partner Z
P00056,2022-02-25,2209.16,Bank Transfer,Partner X
P00057,2022-02-26,1353.18,Cash,Partner Y
P00058,2022-02-27,1513.25,PayPal,Partner X
P00059,2022-02-28,2001.15,PayPal,Partner Y
P00060,2022-03-01,807.39,Bank Transfer,Partner Z
P00061,2022-03-02,2464.99,Credit Card,Partner X
P00062,2022-03-03,3028.0,Cash,Partner Y
P00063,2022-03-04,4849.7,Bank Transfer,Partner W
P00064,2022-03-05,2135.28,PayPal,Partner Y
P00065,2022-03-06,2272.76,Credit Card,Partner Y
P00066,2022-03-07,941.17,PayPal,Partner Y
P00067,2022-03-08,2056.44,Cash,Partner Z
P00068,2022-03-09,4470.19,PayPal,Partner X
P00069,2022-03-10,3237.73,Cash,Partner W
P00070,2022-03-11,1572.32,Cash,Partner W
P00071,2022-03-12,4082.94,Cash,Partner Y
P00072,2022-03-13,940.89,Credit Card,Partner Y
P00073,2022-03-14,1092.71,Bank Transfer,Partner W
P00074,2022-03-15,884.5,Bank Transfer,Partner X
P00075,2022-03-16,629.13,PayPal,Partner Y
P00076,2022-03-17,4562.07,PayPal,Partner X
P00077,2022-03-18,922.86,Cash,Partner Z
P00078,2022-03-19,3955.11,Bank Transfer,Partner Y
P00079,2022-03-20,1080.15,Cash,Partner W
P00080,2022-03-21,4235.79,Cash,Partner W
P00081,2022-03-22,2627.5,Cash,Partner W
P00082,2022-03-23,747.23,Credit Card,Partner Y
P00083,2022-03-24,2985.2,PayPal,Partner X
P00084,2022-03-25,4659.4,PayPal,Partner Y
P00085,2022-03-26,2079.71,PayPal,Partner X
P00086,2022-03-27,4627.78,Credit Card,Partner Z
P00087,2022-03-28,559.51,PayPal,Partner W
P00088,2022-03-29,4007.61,Bank Transfer,Partner Z
P00089,2022-03-30,3627.87,Cash,Partner Z
P00090,2022-03-31,2176.99,PayPal,Partner Y
P00091,2022-04-01,2084.96,Bank Transfer,Partner W
P00092,2022-04-02,3411.15,Credit Card,Partner Z
P00093,2022-04-03,1678.77,Credit Card,Partner X
P00094,2022-04-04,1189.56,PayPal,Partner Z
P00095,2022-04-05,1195.57,Bank Transfer,Partner Z
P00096,2022-04-06,2678.26,PayPal,Partner Z
P00097,2022-04-07,4615.04,Credit Card,Partner W
P00098,2022-04-08,2492.36,PayPal,Partner Z
P00099,2022-04-09,1508.64,PayPal,Partner W
P00100,2022-04-10,2668.28,Cash,Partner W
P00101,2022-04-11,4382.52,PayPal,Partner W
P00102,2022-04-12,2095.14,Bank Transfer,Partner W
P00103,2022-04-13,1531.58,Credit Card,Partner W
P00104,2022-04-14,3054.07,Credit Card,Partner X
P00105,2022-04-15,1541.2,Cash,Partner Y
P00106,2022-04-16,3521.61,Cash,Partner Z
P00107,2022-04-17,692.89,Credit Card,Partner X
P00108,2022-04-18,4423.79,PayPal,Partner W
P00109,2022-04-19,1513.83,PayPal,Partner Y
P00110,2022-04-20,3919.68,Credit Card,Partner W
P00111,2022-04-21,1781.75,PayPal,Partner Y
P00112,2022-04-22,3162.18,Cash,Partner Z
P00113,2022-04-23,887.06,Cash,Partner X
P00114,2022-04-24,826.45,Bank Transfer,Partner X
P00115,2022-04-25,1783.91,Credit Card,Partner X
P00116,2022-04-26,1707.11,Bank Transfer,Partner Y
P00117,2022-04-27,563.14,Bank Transfer,Partner Y
P00118,2022-04-28,4707.35,Credit Card,Partner X
P00119,2022-04-29,2624.88,Bank Transfer,Partner Z
P00120,2022-04-30,3530.89,PayPal,Partner W
